table_catalog,table_schema,table_name,column_name,field_path,data_type,description,collation_name,rounding_mode
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo.targetingCriteria,STRUCT<boomUserlistId INT64>,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo.targetingCriteria.boomUserlistId,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.adwordsClickInfo.isVideoAd,BOOL,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.isTrueDirect,BOOL,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,trafficSource,trafficSource.campaignCode,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device,"STRUCT<browser STRING, browserVersion STRING, browserSize STRING, operatingSystem STRING, operatingSystemVersion STRING, isMobile BOOL, mobileDeviceBranding STRING, mobileDeviceModel STRING, mobileInputSelector STRING, mobileDeviceInfo STRING, mobileDeviceMarketingName STRING, flashVersion STRING, javaEnabled BOOL, language STRING, screenColors STRING, screenResolution STRING, deviceCategory STRING>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.browser,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.browserVersion,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.browserSize,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.operatingSystem,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.operatingSystemVersion,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.isMobile,BOOL,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.mobileDeviceBranding,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.mobileDeviceModel,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.mobileInputSelector,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.mobileDeviceInfo,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.mobileDeviceMarketingName,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.flashVersion,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.javaEnabled,BOOL,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.language,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.screenColors,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.screenResolution,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,device,device.deviceCategory,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,geoNetwork,geoNetwork,"STRUCT<continent STRING, subContinent STRING, country STRING, region STRING, metro STRING, city STRING, cityId STRING, networkDomain STRING, latitude STRING, longitude STRING, networkLocation STRING>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,geoNetwork,geoNetwork.continent,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,geoNetwork,geoNetwork.subContinent,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,geoNetwork,geoNetwork.country,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,geoNetwork,geoNetwork.region,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,geoNetwork,geoNetwork.metro,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,geoNetwork,geoNetwork.city,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,geoNetwork,geoNetwork.cityId,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,geoNetwork,geoNetwork.networkDomain,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,geoNetwork,geoNetwork.latitude,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,geoNetwork,geoNetwork.longitude,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,geoNetwork,geoNetwork.networkLocation,STRING,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,customDimensions,customDimensions,"ARRAY<STRUCT<index INT64, value STRING>>",,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,customDimensions,customDimensions.index,INT64,,NULL,
bigquery-public-data,google_analytics_sample,ga_sessions_20170127,customDimensions,customDimensions.value,STRING,,NULL,
