productSKU,total_ordered
GGOEGALQ034213,5
GGOEYAAJ032515,5
GGOEGAAX0680,5
GGOEAXXX0808,5
GGOEWFKA083199,5
GGOEGXXX0806,5
GGOEGAXQ067129,5
GGOEGAYQ069025,5
GGOEGFQB013799,5
GGOEGBRA037499,5
GGOEGCMB020932,5
GGOEGDWR015799,5
GGOEGGCX056299,5
GGOEGCBC074299,5
GGOEAAEJ035714,5
GGOEGAER029713,5
GGOEGAFB035814,4
GGOEGALB036515,4
GGOEWEBB082699,4
GGOEGALB034115,4
GGOEGEVA022399,4
GGOEGAAX0105,4
GGOEGAAX0342,4
GGOEAAWT061748,4
GGOEGALB036516,4
GGOEAAAJ080814,4
GGOEGADJ056814,4
GGOEGAYB068025,4
GGOEGAFB035817,4
GGOEGAAX0279,4
GGOEGAAX0299,4
GGOEGAEQ027915,4
GGOEGALB034117,4
GGOEAAEH035213,4
GGOEGAAJ032613,4
GGOENEBB081499,4
GGOEGAAJ032815,4
GGOEGAXQ067155,4
GGOEAAAP081214,3
GGOEGBRB013899,3
GGOEGAAX0357,3
GGOEGOBG023599,3
GGOEGOCR078499,3
GGOEGALQ034215,3
GGOEGATB060214,3
GGOEGAWQ062250,3
GGOEGAXJ065555,3
GGOEACCQ017299,3
GGOEGAAX0568,3
GGOEGAAX0651,3
GGOEGAYB068056,3
GGOEGBJC014399,3
GGOEGBRJ037299,3
GGOEGHPB071610,3
GGOEGAAX0619,3
GGOEGAAX0358,3
GGOEGAAX0278,3
GGOEGFSR022099,3
GGOEGAAX0682,3
GGOEGAAX0625,3
GGOEGAAX0602,3
GGOEGGOA017399,3
GGOEGOAQ018099,3
GGOEGAAX0591,3
GGOEGADB056915,3
GGOEGADJ056813,3
GGOEGAYB068024,3
GGOEYAXR066128,3
GGOEGAAJ032814,3
GGOEYAFB073113,3
GGOEAAEH035215,3
GGOEGAFB035816,3
GGOEGCBB074199,2
GGOEGAAC035016,2
GGOEGAAJ032817,2
GGOEGAAL010615,2
GGOEYAFB073116,2
GGOEAOCB077499,2
GGOEGEHQ071199,2
GGOEGAAX0622,2
GGOEGAAX0626,2
GGOEGAAX0352,2
GGOEGAAX0661,2
GGOEGAAX0351,2
GGOEGAAX0334,2
GGOEGAAX0731,2
GGOEGAAX0366,2
GGOEGALQ036613,2
GGOEAAEJ035713,2
GGOEGALJ036414,2
GGOEGAPB057813,2
GGOEAHPJ004213,2
GGOEAAEH035217,2
GGOEGAAB010517,2
GGOEYAAJ032514,2
GGOEGADJ056815,2
GGOEGAEJ031313,2
GGOEGAEA030415,2
GGOEGAPB057816,2
GGOEGATJ060516,2
GGOEGAAJ032317,2
GGOEAAEJ030913,2
GGOEGALJ057912,2
GGOEYAFB073115,2
GGOEGAAX0283,2
GGOEGOAR013099,2
GGOEADHH055999,2
GGOEADWQ015699,2
GGOEGAAX0618,2
GGOEGAAX0655,2
GGOEGAAX0280,2
GGOEGAAX0578,2
GGOEGOLC014299,2
GGOEYAAB031816,2
GGOEGAEQ027913,2
GGOEGAAJ080614,2
GGOEAAAP081217,2
GGOEGAEC033113,2
GGOEGAAC035014,2
GGOEGAAX0281,1
GGOEGHPB003410,1
GGOEWAEA083899,1
GGOEAXXX0812,1
GGOEGAAX0569,1
GGOEGAAX0596,1
GGOEGAAX0290,1
GGOEGAAX0579,1
GGOEWCKQ085457,1
GGOEGAAX0320,1
GGOEGAAX0338,1
GGOEGETR014599,1
GGOEGAEJ029913,1
GGOEGAEJ031316,1
GGOEGAAJ032714,1
GGOEGGCX056199,1
GGOEGAEJ029915,1
GGOEGAEJ030815,1
GGOEGALQ036614,1
GGOEGAAX0107,1
GGOEGAEJ028016,1
GGOEYAAB031813,1
GGOEAAWN062649,1
GGOEGAAR010716,1
GGOEGAEJ028114,1
GGOEGAXR065129,1
GGOEGATH060717,1
GGOEAAAB034914,1
GGOEGALB034116,1
GGOEAHPB076113,1
GGOEGATB060615,1
GGOEGAWQ062248,1
GGOEGAEJ028113,1
GGOEGAYR068225,1
GGOEAHPB076114,1
GGOEGAAJ059113,1
GGOEGAAB033814,1
GGOEAAEH035214,1
GGOEGAYQ069056,1
GGOEGAAJ080613,1
GGOEGAEB027813,1
GGOEGAEJ030814,1
GGOEGBPB081999,1
GGOEGAAX0289,1
GGOEGAAX0297,1
GGOEGAAX0309,1
GGOEGAAX0761,1
GGOEGAAX0610,1
GGOEGAAX0308,1
GGOEGAAX0606,1
GGOEGAAX0733,1
GGOEGALJ036413,1
GGOEGAAX0326,1
GGOEGAAJ059114,1
GGOEYAAB031814,1
GGOEGALL074615,1
GGOEGALL074613,1
GGOEAAWN062648,1
GGOEGADB059614,1
GGOEGAEC033117,1
GGOEGATH060714,1
GGOEAAEB028314,1
GGOEGAEJ028115,1
GGOEAHPJ004314,1
GGOEGAAB010515,1
GGOEGAWR061850,1
GGOEAAEH035216,1
GGOEGACB023699,0
GGOEGCBB074399,0
9182722,0
9183213,0
9180769,0
GGOEGAAX0282,0
GGOEGOAA017199,0
9182569,0
9181137,0
9182765,0
9184733,0
9184720,0
9183223,0
9183241,0
GGOEWXXX0834,0
GGOEAHPA004110,0
GGOEAHPJ074410,0
GGOEGHPJ080110,0
GGOEGDHR082199,0
GGOEGESB015199,0
GGOEGEHQ072499,0
GGOEGEHQ072599,0
GGOEAXXX0810,0
GGOEWXXX0827,0
GGOEGBMC056599,0
9184675,0
GGOEAOBH078799,0
GGOEGAAX0168,0
GGOEGAAX0042,0
9180824,0
9180753,0
GGOEGCVB072399,0
GGOEWFKA083099,0
GGOEWFKA083299,0
9182751,0
GGOEGAAX0329,0
9184620,0
GGOEGAAX0567,0
GGOEGAAX0592,0
GGOEGAAX0593,0
GGOEGAAX0598,0
GGOEGAAX0306,0
GGOEGAAX0365,0
GGOEGAAX0605,0
9183230,0
GGOEGAAX0588,0
9184737,0
GGOEGDHB072099,0
9182383,0
9183234,0
GGOEGAAX0683,0
9180814,0
9182559,0
GGOEGHPL003214,0
9184734,0
9183221,0
GGOENEBQ081599,0
9183118,0
9180781,0
9183203,0
9182763,0
GGOENEBQ081799,0
9183226,0
GGOEGAAX0582,0
9180748,0
9181139,0
9182709,0
GGOEGAAX0355,0
9182182,0
GGOEGAAX0339,0
9182173,0
9182752,0
GGOEGAAX0581,0
9182980,0
GGOEGAAX0340,0
GGOEGOAR013599,0
GGOEGAAX0327,0
9181573,0
9182772,0
9182739,0
9181150,0
9184677,0
9182723,0
9183239,0
9182785,0
9182771,0
GGOEGAAX0324,0
GGOEGAAX0353,0
GGOEGAAX0686,0
9180793,0
9182784,0
9182714,0
9182721,0
9180766,0
9183186,0
9183219,0
9182781,0
9180809,0
9183229,0
9182743,0
GGOEGBCR024399,0
GGOEGBFC018799,0
GGOEGBPB082099,0
9182755,0
9182737,0
GGOEGGCX056399,0
GGOEGAAX0572,0
GGOEWXXX0828,0
GGOEWXXX0835,0
GGOEGAAX0231,0
GGOEGEVB070599,0
9180782,0
9180905,0
GGOEGAAX0361,0
GGOEGAAX0296,0
GGOEGAAX0356,0
GGOEGAAX0323,0
GGOEGAAX0570,0
GGOEGAAX0595,0
GGOEGAAX0304,0
GGOEGAAX0575,0
GGOEGAAX0580,0
GGOEGAAX0603,0
GGOEGAAX0604,0
GGOEGAAX0607,0
GGOEGAAX0590,0
GGOEAHPB080210,0
9182742,0
GGOEGGCX056499,0
9183228,0
GGOEGAAX0746,0
9182605,0
9181019,0
9184663,0
GGOEGAAX0331,0
GGOEGOAJ021599,0
GGOEGAAX0732,0
9184676,0
9182502,0
9182778,0
9180862,0
9183240,0
9182779,0
9182745,0
GGOENEBQ081699,0
9183222,0
GGOEGAAX0350,0
GGOEGAAX0328,0
9182726,0
9180833,0
GGOEGAAX0349,0
9182780,0
9180757,0
9180850,0
GGOEGAAX0348,0
9180808,0
