store,name,address,city,zipcode,store_location,county_number
4104,Fareway Stores #491 / Mason City,400 NORTH DELAWARE AVE,MASON CITY,50401,"400 NORTH DELAWARE AVE
MASON CITY 50401
(43.15553225900004, -93.199518216999991)",17
4098,Wal-Mart 1475 / Washington,2485 HWY 92,WASHINGTON,52353,"2485 HWY 92
WASHINGTON 52353
(41.296765722000032, -91.661274998999943)",92
4152,Food Land Super Markets / Missouri V,407 W HURON,MISSOURI VALLEY,51555,"407 W HURON
MISSOURI VALLEY 51555
(41.557398042000045, -95.899110555999982)",43
4110,"Brothers Market, Inc.",706 HIGHWAY 57,PARKERSBURG,50665,"706 HIGHWAY 57
PARKERSBURG 50665
(42.577342480000027, -92.795859130999986)",12
4148,Fareway Stores #479 / Independence,1400 3RD AVE SE,INDEPENDENCE,50644,"1400 3RD AVE SE
INDEPENDENCE 50644
(42.455349367000053, -91.890282943999978)",10
4154,Fareway Stores #055 / Hiawatha,885 MILLER RD,HIAWATHA,52233,"885 MILLER RD
HIAWATHA 52233
(42.034904033000032, -91.703520287999936)",57
4159,Fareway Stores #073 / Council Bluffs,310 MCKENZIE AVE,COUNCIL BLUFFS,51503,"310 MCKENZIE AVE
COUNCIL BLUFFS 51503
(41.280288092000035, -95.81799682999997)",78
4164,Expo Mart / Bettendorf,1810 STATE ST,BETTENDORF,52722,"1810 STATE ST
BETTENDORF 52722
(41.525318516000027, -90.506590676999963)",82
4155,Fareway Stores #949 / Marion,3300 10TH AVE,MARION,52302,"3300 10TH AVE
MARION 52302
(42.036029261000067, -91.576916878999953)",57
4188,"Main St. Market, Inc.",882 MAIN ST,HOLY CROSS,52053,"882 MAIN ST
HOLY CROSS 52053
(42.600940174000073, -90.995912910999948)",31
4223,Station Mart Liquor and Tobbacco,1119 RIVER FOREST RD,EVANSDALE,50707,"1119 RIVER FOREST RD
EVANSDALE 50707
(42.462798869000039, -92.297743620999938)",7
4228,Fareway Stores #462 / Vinton,501 A AVE,VINTON,52349,"501 A AVE
VINTON 52349
(42.166359392000061, -92.025627661999977)",6
4250,Fareway Stores #882 / Eldora,1232 14TH ST,ELDORA,50627,"1232 14TH ST
ELDORA 50627
(42.361018968000053, -93.100757294999937)",42
4460,MOORE'S FOODS,808 S Main St,Monona,52159,"808 S Main St
Monona 52159
(43.045290408000028, -91.389833569999951)",22
4315,Fareway Stores #554 / Washington,301 NORTH MARION AVE,WASHINGTON,52353,"301 NORTH MARION AVE
WASHINGTON 52353
(41.30198901600005, -91.693087195999965)",92
4313,Fareway Stores #940 / Atltic,301 POPLAR ST,ATLANTIC,50022,"301 POPLAR ST
ATLANTIC 50022
(41.408230552000077, -95.014436973999977)",15
4353,Kum and Go #302 / Clear Lak,2905 FOURTH AVE,CLEAR LAKE,50248,"2905 FOURTH AVE
CLEAR LAKE 50248
(45.250643097000079, -92.271213397999986)",17
4372,Kum and Go #404 / Mason Cit,1303 4TH ST SW,MASON CITY,50401,"1303 4TH ST SW
MASON CITY 50401
(43.148322432000043, -93.221540627999957)",17
4396,"Trunck's Country Foods, INC.",606 GRUNDY AVE,REINBECK,50669,"606 GRUNDY AVE
REINBECK 50669
(42.325671571000044, -92.601380249999977)",38
4414,KUM & GO #23 / NEOLA,29356 298TH ST,NEOLA,51559,"29356 298TH ST
NEOLA 51559
(41.438900837000062, -95.612087526999971)",78
4424,CIRCLE K #6601 / BURLINGTON,1012 MAPLE ST,BURLINGTON,52601,"1012 MAPLE ST
BURLINGTON 52601
(40.804588134000028, -91.112281850999977)",29
4421,KUM & GO #1 / HAMPTON,609 CENTRAL AVE W,HAMPTON,50441,"609 CENTRAL AVE W
HAMPTON 50441
(42.741757078000035, -93.215180031999978)",35
4435,Kum & Go #220  Council Bluffs,2024 5TH AVE,COUNCIL BLUFFS,51501,"2024 5TH AVE
COUNCIL BLUFFS 51501
(41.257167558000049, -95.875020952999989)",78
4471,Kum & Go #212 / WATERLOO,117 E SAN MARNAN DR,WATERLOO,50702,"117 E SAN MARNAN DR
WATERLOO 50702
(42.458321101000081, -92.35624381699995)",7
4468,CIRCLE K #6600 / MUSCATINE,802 CYPRESS ST,MUSCATINE,52761,"802 CYPRESS ST
MUSCATINE 52761
(41.431618416000049, -91.041151494999951)",70
4561,Kroegers Liquor Co LLC,"3539, LAFAYETTE RD",EVANSDALE,50707,"3539, LAFAYETTE RD
EVANSDALE 50707
(42.477694955000061, -92.289409864999982)",7
4572,Grundy Center Family Foods,"1400, G AVE",GRUNDY CENTER,50638,"1400, G AVE
GRUNDY CENTER 50638
(42.36154515000004, -92.783120397999937)",38
4612,ATC Liquor,"214, MYRTLE ST",DAVENPORT,52802,"214, MYRTLE ST
DAVENPORT 52802
(41.521581666000031, -90.589217348999966)",82
4615,North Side Liquor & Grocery,1303 NORTH FEDERAL AVE,MASON CITY,50401,"1303 NORTH FEDERAL AVE
MASON CITY 50401
(43.163669673000072, -93.201053056999967)",17
4624,Kwik Shop #568 / Hiawatha,"300, E BLAIRS FERRY RD",HIAWATHA,52233,"300, E BLAIRS FERRY RD
HIAWATHA 52233
(42.034775910000064, -91.67144800799997)",57
4633,Kwik Shop #520 / Carter Lake,1202 EAST LOCUST ST,CARTER LAKE,51510,"1202 EAST LOCUST ST
CARTER LAKE 51510
(41.284958291000066, -95.914150137999968)",78
4626,Kwik Shop #527 / Council Bluffs,"3632, AVENUE G",COUNCIL BLUFFS,51501,"3632, AVENUE G
COUNCIL BLUFFS 51501
(41.26810847400003, -95.906091078999964)",78
4698,Quality Quick Stop,201 W BURLINGTON AVE,FAIRFIELD,52556,"201 W BURLINGTON AVE
FAIRFIELD 52556
(41.00668769400005, -91.965206153999986)",51
4696,Quik Trip #517 / West Des Moines,1451 22nd ST,WEST DES MOINES,50266,"1451 22nd ST
WEST DES MOINES 50266
(41.59461325500007, -93.735998964999965)",77
4740,Walgreens #04405 / Council Bluffs,2508 W BROADWAY,COUNCIL BLUFFS,51501,"2508 W BROADWAY
COUNCIL BLUFFS 51501
(41.261978334000048, -95.882680169999958)",78
4752,Gasland / Burlington,1003 SUMMER ST,BURLINGTON,52655,"1003 SUMMER ST
BURLINGTON 52655
(40.797130271000071, -91.114872606999938)",29
4794,Smokin' Joe's #17 Tobacco and Liquor,110 S ROOSEVELT HWY 61,BURLINGTON,52601,"110 S ROOSEVELT HWY 61
BURLINGTON 52601
(40.809590166000078, -91.141153567999936)",29
4808,CB Quick Stop / Council Bluffs,"3500, AVE A",COUNCIL BLUFFS,51501,"3500, AVE A
COUNCIL BLUFFS 51501
(41.262857525000072, -95.902521309999941)",78
4839,DS Services LLC,87 8th ST N,Northwood,50459,"87 8th ST N
Northwood 50459
(43.444982846000073, -93.220938234999949)",98
4834,Muscatine Fast Break,2603 SECOND AVE,MUSCATINE,52761,"2603 SECOND AVE
MUSCATINE 52761
(41.451816763000068, -91.034878472999935)",70
4867,Speedy Gas N Shop,"430, S 35TH ST",COUNCIL BLUFFS,51501,"430, S 35TH ST
COUNCIL BLUFFS 51501
(41.257570856000029, -95.902086899999972)",78
4936,Pickle Barrel Market,2 N  EYBERG ST,TREYNOR,51575,"2 N EYBERG ST
TREYNOR 51575
(41.232260986000028, -95.613047376999987)",78
4910,Prime Mart #3 / Waterloo,1008 LAPORTE RD,WATERLOO,50702,"1008 LAPORTE RD
WATERLOO 50702
(42.476308221000068, -92.322867973999962)",7
4952,Sub Express & Gas,4307 W LOCUST ST,DAVENPORT,52804,"4307 W LOCUST ST
DAVENPORT 52804
(41.538133042000027, -90.637270956999942)",82
2506,Hy-vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,"3140 AGENCY
BURLINGTON 52601
(40.814668295000047, -91.135900171999936)",29
2558,Hy-vee Food Store / Mt Pl,1700 E WASHINGTON,MOUNT PLEASANT,52641,"1700 E WASHINGTON
MOUNT PLEASANT 52641
(40.962274443000069, -91.528739544999951)",44
2445,Ruback's Food Center,504 SOUTH HIGHWAY,OAKLAND,51560,"504 SOUTH HIGHWAY
OAKLAND 51560
(41.316198647000078, -95.408296761999964)",78
2535,Hy-vee Food Store #1/wdm,1700 VALLEY WEST DR,WEST DES MOINES,50265,"1700 VALLEY WEST DR
WEST DES MOINES 50265
(41.59727543200006, -93.752034235999986)",77
2539,Hy-vee Food Store/iowa Falls,HIGHWAY 65 SOUTH,IOWA FALLS,50126,"HIGHWAY 65 SOUTH
IOWA FALLS 50126
(42.580004297000073, -93.20465010199996)",42
2568,Hy-vee Food Store #4/ceda,1556 FIRST AVENUE NE,CEDAR RAPIDS,52402,"1556 FIRST AVENUE NE
CEDAR RAPIDS 52402
(41.988826181000036, -91.651145289999988)",57
2582,Hy-vee #2 Food Store/maso,551 S ILLINOIS AVE,MASON CITY,50401,"551 S ILLINOIS AVE
MASON CITY 50401
(43.146554109000078, -93.171110673999976)",17
2573,Hy-Vee Food Store / Muscatine,2400 2ND AVE,MUSCATINE,52761,"2400 2ND AVE
MUSCATINE 52761
(41.450211635000073, -91.035527206999973)",70
2584,Hy-vee Food Store/ft Madi,2606 AVENUE L,FORT MADISON,52627,"2606 AVENUE L
FORT MADISON 52627
(40.626992699000027, -91.342920274999983)",56
2588,Hy-vee Food and Drug #6/ced,4035 MT. VERNON ROAD S.E.,CEDAR RAPIDS,52403,"4035 MT. VERNON ROAD S.E.
CEDAR RAPIDS 52403
(41.976843602000031, -91.609930473999952)",57
2618,Hy-vee Drugstore #6 / Cedar Rapids,505 BOYSON RD NE,CEDAR RAPIDS,52402,"505 BOYSON RD NE
CEDAR RAPIDS 52402
(42.046692621000034, -91.639221477999968)",57
